ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,12462,2019-07-01 00:00:00,2023-12-16 22:00:00
INTC,Intel Corporation,Technology,Semiconductors,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,11178,2019-01-01 00:00:00,2023-12-16 10:00:00
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,11040,2019-01-02 00:00:00,2023-12-16 23:00:00
DIS,The Walt Disney Company,Communication Services,Entertainment,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,10597,2019-06-13 00:00:00,2023-12-16 19:00:00
AAPL,Apple Inc.,Technology,Consumer Electronics,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,9811,2020-03-09 00:00:00,2023-12-16 22:00:00
BHFAL,"Brighthouse Financial, Inc.",,,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,9614,2023-11-30 00:00:00,2023-12-16 23:46:00
ACGLO,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,9014,2023-11-28 00:00:00,2023-12-16 23:56:00
PFFL,ETRACS 2xMonthly Pay Leveraged Preferred Stock Index ETN,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,8822,2023-07-21 00:00:00,2023-12-16 23:49:00
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8737,2022-04-26 00:00:00,2023-12-16 23:02:00
UEVM,VictoryShares Emerging Markets Value Momentum ETF,,,NGM,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,8715,2023-07-18 00:00:00,2023-12-16 23:00:00
UCIB,UBS ETRACS UBS Bloomberg Constant Maturity Commodity Index (CMCI) Total Return ETN Series B,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,8699,2023-07-18 00:00:00,2023-12-16 23:18:00
WLDR,Affinity World Leaders Equity ETF,,,BTS,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,8698,2023-07-19 00:00:00,2023-12-16 23:45:00
GDMA,Gadsden Dynamic Multi-Asset ETF,,,BTS,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,8680,2023-07-21 00:00:00,2023-12-16 23:00:00
WTRE,WisdomTree New Economy Real Estate ETF,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,8680,2023-07-19 00:00:00,2023-12-16 23:46:00
FSMB,First Trust Short Duration Managed Municipal ETF,,,PCX,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,8662,2023-07-21 00:00:00,2023-12-16 23:32:00
HVT-A,"Haverty Furniture Companies, Inc.",Consumer Cyclical,Home Improvement Retail,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8630,2023-11-30 00:00:00,2023-12-16 23:26:00
UOCT,Innovator U.S. Equity Ultra Buffer ETF October,,,BTS,ETF,1257,2019-01-02,2023-12-28,96.4,True,True,True,8591,2023-07-19 00:00:00,2023-12-16 23:39:00
GTN-A,"Gray Media, Inc.",Communication Services,Broadcasting,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8583,2023-11-30 00:00:00,2023-12-16 23:00:00
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8581,2019-01-02 00:00:00,2023-12-16 13:00:00
ESGRO,Enstar Group Limited - Deposito,,,NMS,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8575,2023-12-01 00:00:00,2023-12-16 23:54:00
BH-A,Biglari Holdings Inc.,Consumer Cyclical,Restaurants,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8541,2023-11-30 00:00:00,2023-12-16 23:45:00
AGM-A,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8507,2023-11-30 00:00:00,2023-12-16 23:27:00
AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8191,2023-11-30 00:00:00,2023-12-16 23:44:00
HCXY,"Hercules Capital, Inc.",,,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8137,2023-12-01 00:00:00,2023-12-16 23:50:00
WSO-B,"Watsco, Inc.",Industrials,Industrial Distribution,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,8054,2023-11-29 00:00:00,2023-12-16 23:00:00
QVCD,"QVC, Inc. 6.375% Senior Secured",,,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,7775,2023-11-29 00:00:00,2023-12-16 23:11:00
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,7733,2019-01-04 00:00:00,2023-12-16 23:00:00
PBR-A,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,NYQ,EQUITY,1257,2019-01-02,2023-12-28,96.4,True,True,True,7693,2023-11-30 00:00:00,2023-12-16 23:37:00
