horizon,h_days,spec,beta_1sd,se_1sd,t,p_two_sided,effect_1sd_bps,n_train_used
y1_ex,1,firm_fe,0.01740398629217323,0.0005242239599854555,33.19952467005915,1.9035429870722264e-230,174.0398629217323,11029
y2_ex,2,firm_fe,0.021141975212280558,0.000694326459045397,30.44961766450303,1.3150339372403752e-195,211.4197521228056,11029
y3_ex,3,firm_fe,0.019584033375393817,0.000789231932572201,24.814040799853494,2.584750231653229e-132,195.84033375393818,11029
y5_ex,5,firm_fe,0.014805472531693436,0.0009518275811196017,15.554784107304679,5.52137428424877e-54,148.05472531693437,11029
y1_ex,1,pooled_clustered,0.016806623712730114,0.0005137863017109135,32.71131140858347,4.438827892368967e-224,168.06623712730115,11029
y2_ex,2,pooled_clustered,0.020854515056629563,0.0006903400095617679,30.20904882779159,1.1156638412463014e-192,208.54515056629563,11029
y3_ex,3,pooled_clustered,0.019795391706847295,0.000789797356500039,25.063887013461176,7.03196347207824e-135,197.95391706847295,11029
y5_ex,5,pooled_clustered,0.016533577145997156,0.0009584935407354923,17.24954466913804,8.212007127574957e-66,165.33577145997157,11029
y1_ex,1,two_way_fe,0.013425301722506658,0.0005653518224251635,23.746808960333343,1.2961084472623443e-121,134.25301722506657,11029
y2_ex,2,two_way_fe,0.01647387912797528,0.0007363989736776686,22.370861064217223,1.9149626225285727e-108,164.7387912797528,11029
y3_ex,3,two_way_fe,0.015709498817621514,0.0008345377292717339,18.824192444037894,7.889414868046849e-78,157.09498817621514,11029
y5_ex,5,two_way_fe,0.012802687410751669,0.000986940498012895,12.972096531177499,3.350665429357293e-38,128.02687410751668,11029
