ticker,company_name,sector,industry,exchange,quoteType,price_rows,price_min_date,price_max_date,coverage_pct,starts_in_2019,ends_in_2023,full_coverage,news_count,news_min_date,news_max_date
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,10587,2019-07-01,2023-12-16
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,9883,2019-01-02,2023-12-16
DIS,The Walt Disney Company,Communication Services,Entertainment,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,9654,2019-06-13,2023-12-16
BHFAL,"Brighthouse Financial, Inc.",,,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,9614,2023-11-30,2023-12-16
AAPL,Apple Inc.,Technology,Consumer Electronics,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,9338,2020-03-09,2023-12-16
ACGLO,Arch Capital Group Ltd.,Financial Services,Insurance - Diversified,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,9014,2023-11-28,2023-12-16
INTC,Intel Corporation,Technology,Semiconductors,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,9007,2019-01-01,2023-12-16
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8737,2022-04-26,2023-12-16
HVT-A,"Haverty Furniture Companies, Inc.",Consumer Cyclical,Home Improvement Retail,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8630,2023-11-30,2023-12-16
GTN-A,"Gray Media, Inc.",Communication Services,Broadcasting,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8583,2023-11-30,2023-12-16
ESGRO,Enstar Group Limited - Deposito,,,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8575,2023-12-01,2023-12-16
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,NMS,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8570,2019-01-02,2023-12-16
BH-A,Biglari Holdings Inc.,Consumer Cyclical,Restaurants,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8541,2023-11-30,2023-12-16
AGM-A,Federal Agricultural Mortgage Corporation,Financial Services,Credit Services,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8507,2023-11-30,2023-12-16
AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8191,2023-11-30,2023-12-16
HCXY,"Hercules Capital, Inc.",,,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8137,2023-12-01,2023-12-16
WSO-B,"Watsco, Inc.",Industrials,Industrial Distribution,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,8054,2023-11-29,2023-12-16
QVCD,"QVC, Inc. 6.375% Senior Secured",,,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,7775,2023-11-29,2023-12-16
PBR-A,Petróleo Brasileiro S.A. - Petrobras,Energy,Oil & Gas Integrated,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,7693,2023-11-30,2023-12-16
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,7245,2019-01-04,2023-12-16
CIG-C,Companhia Energética de Minas Gerais - CEMIG,Utilities,Utilities - Diversified,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,6919,2023-12-01,2023-12-16
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,NYQ,EQUITY,1257,2019-01-02,2023-12-28,100.0,True,True,True,6815,2023-11-30,2023-12-16
